SID,Year,ASJC,Description,SJR,Quartile,Percentile
12283,2023,3323,Social Work,0.51,3,42
12284,2023,2505,Materials Chemistry,0.385,3,48
12284,2023,2508,"Surfaces, Coatings and Films",0.385,3,46
12284,2023,3104,Condensed Matter Physics,0.385,3,46
12284,2023,3110,Surfaces and Interfaces,0.385,3,36
12286,2023,1601,Chemistry (miscellaneous),2.391,1,92
12286,2023,2504,"Electronic, Optical and Magnetic Materials",2.391,1,92
12286,2023,2505,Materials Chemistry,2.391,1,94
12286,2023,2506,Metals and Alloys,2.391,1,97
12286,2023,2508,"Surfaces, Coatings and Films",2.391,1,95
12286,2023,3104,Condensed Matter Physics,2.391,1,96
12286,2023,3110,Surfaces and Interfaces,2.391,1,95
12288,2023,1701,Computer Science (miscellaneous),0.233,3,29
12288,2023,2504,"Electronic, Optical and Magnetic Materials",0.233,4,23
12288,2023,3105,Instrumentation,0.233,4,15
12288,2023,3107,"Atomic and Molecular Physics, and Optics",0.233,4,21
12288,2023,3109,Statistical and Nonlinear Physics,0.233,4,16
12289,2023,2504,"Electronic, Optical and Magnetic Materials",0.187,4,12
12289,2023,3107,"Atomic and Molecular Physics, and Optics",0.187,4,12
12295,2023,1104,Aquatic Science,0.148,4,5
12295,2023,1910,Oceanography,0.148,4,8
12299,2023,2901,Nursing (miscellaneous),0.404,2,57
12299,2023,2908,Fundamentals and Skills,0.404,2,61
12300,2023,1708,Hardware and Architecture,0.937,2,74
12300,2023,1712,Software,0.937,2,70
12300,2023,2208,Electrical and Electronic Engineering,0.937,1,77
12301,2023,2210,Mechanical Engineering,0.106,4,4
12301,2023,2211,Mechanics of Materials,0.106,4,1
12301,2023,2505,Materials Chemistry,0.106,4,3
12301,2023,2506,Metals and Alloys,0.106,4,3
12302,2023,2201,Engineering (miscellaneous),0.551,2,70
12302,2023,2501,Materials Science (miscellaneous),0.551,2,61
12303,2023,1404,Management Information Systems,2.594,1,93
12303,2023,1710,Information Systems,2.594,1,94
12303,2023,1802,Information Systems and Management,2.594,1,93
